Num,Tipo,Voce,Cat,Italiano,Et_Audio
292,lemma,arèla,sf,"graticcio, canniccio fatto di canne palustri",arela
293,lemma,arènt,avv,"accanto, vicino, appresso, a ridosso",arent
294,lemma,arènt,sm,"companatico, cibo di qualsiasi tipo che si mangia insieme al pane, polenta, ecc.",arent
295,locuzione,arènt (còsa gh'è de –),loc,cosa c'è di companatico; cosa c'è da mangiare insieme col pane,arent (cosa gh'e de –)
296,locuzione,arènt (tirarse –),es,"avvicinarsi, accostarsi, mettersi vicino, farsi compagnia",arent (tirarse –)
297,locuzione,arènteghe vergót,es,"mettigli vicino qualche cosa, mettici dell'altro",arenteghe vergot
298,lemma,àrfi,sm,"respiro, fiato pesante; anche: arf",arfi
299,lemma,arfiàda,sf,"fiatata, soffiata, sudata",arfiada
300,lemma,arfiàr,vb,"ansimare, respirare pesantemente, riprendere fiato",arfiar
301,lemma,argàgn,sm,"1. arnese, ordigno, congegno; 2. riferito a persona: strana",argagn
302,lemma,argagni,smpl,oggetti (dispregiativo),argagni
303,lemma,arghen,sm,"argano, verricello",arghen
304,lemma,"ari, ari!",escl,grido per incitare le bestie - es.: all'asino,"ari, ari!"
305,lemma,aria,sf,"1. aria, brezza, refolo, 2. motivetto, canto, canzone",aria
306,locuzione,aria grama,loc,"aria stagnante, nella canna fumaria o in miniera",aria grama
307,locuzione,aria pelósa,loc,aria molto fredda,aria pelosa
308,lemma,arieṡìna,sf,"arietta, frescura, venticello a volte pungente",ariesina
309,lemma,ariòma,sm,"tremito, convulsione, forte agitazione, stato epilettico passeggero dei bambini",arioma
310,lemma,arlechìn,sm,arlecchino - fig. persona inaffidabile,arlechin
311,lemma,arléf,sm,"allievo, figlio, redo; piccolo di animale che si alleva",arlef
312,lemma,arlevàr,vb,"allevare, far crescere, coltivare, tirare su",arlevar
313,lemma,armada,sf,"armata, esercito",armada
314,lemma,armadura,sf,"armatura, corazza",armadura
315,lemma,armàndola,sf,"mandorla, anche: màndola",armandola
316,lemma,armàr,sm,"armadio, guardaroba",armar
317,lemma,armàr,vb,"armare, caricare, fortificare col cemento",armar
318,lemma,armaròl,sm,armaiolo,armarol
319,lemma,armarón,sm,"armadione, armadio enorme, omaccione",armaron
320,lemma,armaròt,sm,armadietto,armarot
321,lemma,armelìn,sm,albicocca,armelin
322,lemma,armelinàr,sm,albero di albicocco,armelinar
323,lemma,armeżàr,vb,"armeggiare, macchinare, trafficare",armezar
324,lemma,arnés,sm,arnese,arnes
325,lemma,arneṡòt,sm,piccolo arnese,arnesot
326,lemma,arquanti,agg,"alquanti, alcuni, certuni, diversi, svariati",arquanti
327,lemma,arsanàr,vb,"risanare, sanare, bonificare",arsanar
328,lemma,arsenàl,sm,"arsenale, cosa o persona grande e goffa, ragazzo sventato",arsenal
329,lemma,arsolàr,vb,risuolare (le scarpe) - anche: risolar,arsolar
330,lemma,arteṡàn,sm,artigiano,artesan
331,lemma,articiòch,sm,1. carciofo; 2. fig. uomo buono a nulla,articioch
332,lemma,artìcol,sm,"1. articolo, pezzo 2. persona singolare",articol
333,locuzione,artìcol (te séi 'n –),es,"sei proprio singolare, sei prorio eccentrico, particolare",articol (te sei 'n –)
334,lemma,artifìzi,sm,"artificio, astuzia, dispositivo, invenzione, inganno",artifizi
335,lemma,arvegnìr,vb,"rinvenire, ravvivare, rianimare, riprendere conoscenza",arvegnir
336,lemma,arvizinàr,vb,avvicinare - anche: avizinàr,arvizinar
337,lemma,arvizinarse,vb,"avvicinarsi, accostarsi, mettersi vicino - anche: tirarse arènt",arvizinarse
338,lemma,arżen,sm,"argine, ripa, sponda. Anche: alzer, rosta",arzen
